Date,Time,Open,High,Low,Close,Vol
08/15/2007,16:00,52.11,59.87,51.5,57.71,10678500.0
08/16/2007,16:00,60.99,61.49,52.71,56.99,6919500.0
08/17/2007,16:00,59.0,59.0,54.45,55.55,3086100.0
08/20/2007,16:00,56.05,57.5,55.61,57.33,2140900.0
08/21/2007,16:00,57.25,66.59,56.5,65.99,7369700.0
08/22/2007,16:00,70.18,73.95,66.56,66.85,10144400.0
08/23/2007,16:00,68.07,70.88,65.01,70.2,4347000.0
08/24/2007,16:00,70.2,72.65,69.45,71.3,3812400.0
08/27/2007,16:00,71.73,73.35,71.01,72.3,2393300.0
08/28/2007,16:00,71.9,72.1,66.5,69.78,3664100.0
08/29/2007,16:00,72.0,72.48,67.15,68.2,3580700.0
08/30/2007,16:00,67.58,70.0,66.25,68.46,1731300.0
08/31/2007,16:00,69.82,70.11,68.54,68.89,921700.0
09/04/2007,16:00,69.06,69.13,67.25,67.45,1353800.0
09/05/2007,16:00,66.55,66.59,63.65,64.21,2245400.0
09/06/2007,16:00,64.6,70.1,64.09,69.79,2599400.0
09/07/2007,16:00,67.01,71.3,66.8,69.5,2668300.0
09/10/2007,16:00,71.99,79.15,68.85,76.76,6667400.0
09/11/2007,16:00,78.7,82.75,76.5,76.65,10613600.0
09/12/2007,16:00,78.44,80.65,77.06,78.3,6005300.0
09/13/2007,16:00,79.55,80.55,76.53,77.79,3253800.0
09/14/2007,16:00,77.22,79.55,76.55,77.92,3093300.0
09/17/2007,16:00,76.15,77.6,73.19,73.7,4773600.0
09/18/2007,16:00,75.35,75.75,72.8,73.9,2931900.0
09/19/2007,16:00,75.3,78.83,74.86,77.6,4228400.0
09/20/2007,16:00,77.66,79.27,76.17,76.65,2464600.0
09/21/2007,16:00,77.35,79.31,76.6,79.31,4114400.0
09/24/2007,16:00,81.0,85.17,80.32,83.83,5649300.0
09/25/2007,16:00,82.31,85.0,82.0,83.23,2964600.0
09/26/2007,16:00,83.99,84.4,82.11,82.36,1539200.0
09/27/2007,16:00,83.05,84.05,82.05,83.12,1855400.0
09/28/2007,16:00,83.89,85.52,82.5,85.0,3419300.0
10/01/2007,16:00,84.75,89.23,83.62,88.62,3845800.0
10/02/2007,16:00,88.97,92.52,88.36,92.42,2869600.0
10/03/2007,16:00,92.43,93.98,87.5,88.25,3965800.0
